idx,review_id,order_id,review_score,delivery_days,in_gold,topic,sentiment,gold_topic,gold_sentiment
0,d3c62500417e7eeab7c6ac2151b67357,301b453872955e08f7aed322d6a0753a,4,4.607615740740741,0,product_quality,positive,,
1,0f952ad4dfb88a77f12211a4038c70dd,f9281da15642bc69f27307e1dc987b30,5,10.387048611111112,1,delivery_shipping,positive,delivery_shipping,positive
2,067b7c9c760d8bda7a2c38fb1f3fdf6e,e747b099854432937d27178c640102bf,5,6.505648148148148,0,delivery_shipping,positive,,
3,62f78be17aa2ef7db33e5781e00e7dc8,3f3e4083688c07129239450773e84282,5,1.4098842592592593,0,delivery_shipping,positive,,
4,9fcdf7983153b632cdbab78bf7d7f83a,b3b8133868458b6acf08ea6ffc22e3f2,5,9.817546296296296,0,delivery_shipping,positive,,
5,a2e0d982abe0a650156ec056ca4d1b85,a4244008bc97ae9cdc3807237fa83229,5,15.132256944444444,0,delivery_shipping,positive,,
6,74ef1abcf8bfb7ca756b7cd788ee366b,2b4d04cfb81d2dbb1ab48f9e2a7ac6b9,1,7.525150462962963,0,product_quality,negative,,
7,1faf54dfeb5d82e5218a8ca9433e90b8,c38db22a86ae94a2a5a9dd2d5700f6cb,4,30.05804398148148,0,delivery_shipping,neutral,,
8,2070cfae604cb0be67d5967716a68107,fde2b2f46bb69e2359b74ff7606de899,4,9.67664351851852,0,product_quality,positive,,
9,5bb1b76de6b52930ca68babe90a89935,7cc23d880ead6eb7ebecb6292435b6d6,4,13.582106481481482,0,delivery_shipping,positive,,
10,bbda12c71aab2a0fc4abd9552708b896,6fa507b714ac24b88af01fdc92ccb77c,4,23.21248842592593,0,other,neutral,,
11,3fca95425de85f09a53a4ddf53382986,8e5a8b1f6cf7513edaf3bf7c5573ebf4,2,26.32846064814815,1,delivery_shipping,neutral,delivery_shipping,neutral
12,9258b018cff95838336b62b1d0557b70,d55d7b1f89a06d58b4ee58e148dcbe4c,1,17.556979166666668,0,delivery_shipping,negative,,
13,55bb8e267a4a3de93b0392fd9c0b7423,f09afa8a9cfcfba64cb18282881fe509,5,15.243298611111111,0,other,positive,,
14,05a8043ba7365e650700ee4d1c81cfba,79779a656c87065c8e3ff7f7510e08a6,4,15.410925925925929,0,delivery_shipping,neutral,,
15,9fa512c5a402254eb83131b1ec913472,016706d732e79b49035275c048edb2c4,1,,1,delivery_shipping,negative,customer_service,negative
16,3e2077f5e653f7feb84021b9aeae83a7,05297254c9e41d34c1a38f75ca8656d9,5,20.81111111111111,0,delivery_shipping,neutral,,
17,7e5cc504d8982e90475a983f91fd77e4,156254aa58b87bb7bad0f9e82f9bd5f9,3,15.501030092592591,1,product_quality,negative,product_quality,negative
18,1ffb32409730d69bbb5e43854e520701,7fb9a8071a075a78c82420971e66dd77,2,7.039270833333333,0,product_quality,negative,,
19,788bbd45387e5796158ee6946bb4fc37,25fbf27ebf14d822b62827aeb77d9d10,4,25.84486111111111,0,other,neutral,,
20,8a8685c5c82139492c1c2ffc9c34b784,9da2e0a62b0b95234b66349473d9616d,1,8.40607638888889,1,product_quality,negative,product_quality,negative
21,82e4a744dd74699abef5974e2e6aabc0,3727244af1446bbfc36da7351cde0ed4,4,2.1388425925925927,0,product_quality,negative,,
22,25b5083f478c1c2c328861ed577331ca,b19b0d1dcf07ad7d58c75f45e9744ba5,5,10.179722222222225,0,product_quality,positive,,
23,d2e20804862d37a172387b3b7df223e9,be8825818ef90fa22e25614dad11854d,5,5.034166666666667,0,delivery_shipping,negative,,
24,fa17f23f65598c9ca0caab952a71651e,3b397f64a95c43a2f51b2b75b1f0ad53,5,8.600613425925927,1,other,positive,other,positive
25,e10c873dd7f4b4878f3ea35a6589be9d,f82fad0f66275ce506ed5b5c48138b08,5,11.746585648148148,0,delivery_shipping,positive,,
26,47a1ec3b36740c923bfa0dead6ff1517,9e8ef3a707f0f0558057a948db92f600,4,12.532476851851852,0,product_quality,positive,,
27,e60413edda83aa70de7f04e231148717,fab81f2fc065871a42ac06b9bedc78b5,5,8.949884259259258,1,other,positive,other,positive
28,fd785bd6eaac4a6cc3015cb72b59243f,d325a0e01c66fbb30ec849e5f49ef748,3,13.06181712962963,0,product_quality,neutral,,
29,f3535f3b306d9faf3028163034e5c54f,b8f556e0eb31034a9346b2d045c90186,5,18.156898148148148,0,product_quality,positive,,
30,37781f13bba845e460bc4a91dcbe9d59,b42647c500cf637710473a668b0ff934,1,7.153391203703704,0,product_quality,negative,,
31,794c6d23c17eed8cec6120ff529bc2ef,cb131af379d402c6f6c9b62bde622e75,5,2.0079166666666666,0,delivery_shipping,positive,,
32,70f04f61aafcb6a5e2d616f3a85a9836,bd26f79807cb5e17e470195232bf67d7,1,7.829386574074074,0,product_quality,negative,,
33,87e2bf1ae884f895e4a9ac2a1c8537f0,22ecef80997c71139d9679802f02e84d,2,8.829155092592593,0,product_quality,negative,,
34,f1960cf21cfb437375c637358f4ffd62,aea67f89b3841f780d8eed0beabd3398,1,4.7825347222222225,1,product_quality,negative,product_quality,negative
35,d2d81a1f09971197b320a11e4d91c165,d454b242faeb348060250fcf92c1db01,3,5.999594907407407,0,product_quality,negative,,
36,808a3c0213477660e0a6e83f485ed40c,ba6ef427eddcdf12922391f524c053aa,5,4.9215277777777775,0,delivery_shipping,positive,,
37,3352077e013ce9ee9b68fad14c9539c5,6d885151b431516792fbfc7d393c90cd,4,27.21466435185185,0,product_quality,neutral,,
38,042a30f647f0f86b24bf62b4b101e206,facc1205a81ecb0105f0a0c14bd11899,5,8.651990740740741,0,product_quality,positive,,
39,b90768f63e8c48af647b8c5966b0989d,1afd388dd86a030bd0d2b1d5434978d3,5,1.9903703703703703,0,product_quality,positive,,
40,fbf34e98200bee0d92a8625d07dc6f8c,5ccf62709f079c27307f316fdc2e794a,5,10.838206018518518,0,product_quality,positive,,
41,0084ee902f9a4e006a281b644b78cf29,e2329b38dc9971f2fb0f8247bbb641c2,1,32.19431712962963,0,delivery_shipping,negative,,
42,7ec9f5da80457bd8981e0638573a49fe,f88efafe68a38b479def426923166490,3,,0,customer_service,negative,,
43,94a12a7754efde5a546b168174e603e8,482a1889c0ee222f26401810f8b09c4e,4,9.037314814814817,0,product_quality,negative,,
44,df095c5e7b50dc8b22ea9a786fc3dfcf,5352e5739f5e5d0fb4d12c4fd4ca8bf5,5,4.69994212962963,0,other,positive,,
45,e9c908429373d001404bebddd26496cd,e328e23027b916218c9fba2f6cf9b682,3,13.315694444444444,0,delivery_shipping,negative,,
46,dae5174116d950a23616a58119738eb8,fa42976ec498a7a192277e10b1706a5f,1,19.12496527777778,0,product_quality,negative,,
47,41b71ce4b8849a56b4d51b9c87c19711,0c0b4c682dc77d70dbc4cf1ed44ede36,5,1.0808796296296297,0,product_quality,positive,,
48,ef9ef383ff6625e8e118db388ad3420d,67274e3826cb110f3d0cb45f33c2275e,3,2.394108796296296,0,product_quality,negative,,
49,9c3aea89b871e265d8520ff4be5500d6,188368c093f06fe58e813bd61137b3e1,5,12.018726851851852,0,product_quality,positive,,
50,6113a384f3cd7b85d430c5bbd22e52fe,b367cc1437c9d0b2794f759930e61eba,1,7.222384259259259,0,product_quality,negative,,
51,df0d9c1964975f1a9e514e22ec8be080,ce021ef42ff5227b0658faac2069ab5a,5,3.0996064814814814,0,customer_service,positive,,
52,900d4ea6628849cf950be739b6b0f4f7,418e52c121e971463d3804676a3042a2,3,8.154467592592592,0,price_value,negative,,
53,3a3fc2126f13eff43879b7dce2ee7c7e,d4ab24f781df0efaa8d664c145241296,5,10.201782407407409,0,delivery_shipping,positive,,
54,6017f669ef85873b7a8d5fd6bde64ffb,64bbf9df8ea9c5c9dfb0981b5e2a81e0,5,13.830347222222224,0,product_quality,positive,,
55,0285ed9052a73d01dc6411c082d7b275,eedfdd1e4ef97bae3bc2a49f06e3016b,5,17.478344907407408,0,other,positive,,
56,28d95f0a0da70e316e7eb71fee54220b,4059a20ed837ba80adc17e94bf2f852f,5,8.480300925925926,0,other,positive,,
57,40f3f2804ac4d58fb4c0e5f4138038ae,dd9aa4781edd47b13197cd4745fa846b,2,10.448020833333333,0,product_quality,negative,,
58,66e993fb29cd3cd3914a7a2b9c366731,e4ccaabafa125b3b39a9331b0abced9d,5,17.22824074074074,0,product_quality,positive,,
59,ffbdbca364b05f38fd4b457358f845ff,e1a5a8d04768a9b9972f4bfb2c21a11c,1,29.982997685185182,0,delivery_shipping,negative,,
60,3bca8d9922bed47eb96f23d121945290,3b5351f5f99b46339212291661a9d226,5,17.549074074074074,0,other,positive,,
61,cac32b3fc26f657524fe812fc4ede941,bca45e92990f2f54a8aed374b160f2e8,2,7.335671296296296,0,product_quality,negative,,
62,edcf4c003ecabe5eb9f718d804666b66,91dfad2e79a07e06a4b6d53c206cef28,4,24.928449074074074,0,price_value,positive,,
63,44b1f6b9b60aef33730c43641d85e818,3f9cc3bcb97ba27a265c13ff4f540689,5,7.086793981481481,0,product_quality,positive,,
64,dcd8a39e8e7a91c655c19cbb43247ce5,a4c7db3bf41a4d09d2a5166346366be5,5,8.394212962962962,0,delivery_shipping,neutral,,
65,88f1e6485cf67624d3d5937b872cac5d,5ab34a3449b54e0fff6d7ba20781a655,5,10.119456018518518,0,other,positive,,
66,051eb83a8b50dd9269ba52a151f5fbff,0bece47d86c4c6000ca551001a15669d,5,5.339641203703704,0,other,positive,,
67,227ca9a17dbaba56072566fe1968cfc9,5f2b11a0394b442df7e5f4419d5f9f2c,3,33.32370370370371,1,delivery_shipping,negative,delivery_shipping,negative
68,dbb192dd0836c49932efe8b7018c93fe,651b7b5c39ef65afb938cb9dc649b850,5,20.04498842592593,0,product_quality,positive,,
69,8eb0191bb96bb6a5295d1040f704435f,e0af6cabd937112402ed8cecb025d15d,5,7.795266203703704,1,product_quality,positive,delivery_shipping,positive
70,bdfe08cb16560ac0e5f7855583e714d2,923e0c030350975afcfa4ffbc70c0146,3,4.847557870370371,0,other,positive,,
71,118cea1913e2f9d91f24066bf570fe20,8b7b3969f3c39c57ab6c9d0df5741f39,1,18.061770833333338,0,product_quality,negative,,
72,d435bf750cdbb1376bcd4141e1737694,150fae57c8b1d3015eb9f7147073cb81,5,17.16298611111111,0,customer_service,positive,,
73,3342e6b3b65eee0530f5cc17a8b5e7a4,f2da3bee3196b2b183817fed8967a800,5,7.718599537037037,0,product_quality,positive,,
74,98ed21dd16a95e08241c4bca56bcb9ad,1a0c4417bf4f48e594a23d90d8d7581c,3,8.973761574074073,0,product_quality,negative,,
75,26ccedab64af303bfa98ffe1765572e0,f2b00200fa3b427fee60eb4fa811720b,4,14.042962962962964,0,other,positive,,
76,ad7f00d2a8964a29500ee5122b2b6b7e,370cfb4244f1a15b8d60d32fce42c3fd,5,17.432106481481483,0,product_quality,positive,,
77,918bd7e04b6ecd598d5fd14942fad51a,2090a165b3666a70b271ccaa2fe64319,4,11.150902777777778,0,other,positive,,
78,5193a01c7a8f65e318891228e8967c49,111094eb682a21da30ce35ad760ff478,3,2.9184490740740743,0,product_quality,negative,,
79,95565652d4dddb31ca69e9ea04297b3e,3054c6a8e45b740723ec8a7145d867b7,1,35.07207175925926,1,delivery_shipping,negative,delivery_shipping,negative
80,19d0e4c99907407763b8ffc084e7a63b,4d52cfe3ad25169d39fe5e6f99d17e2c,5,10.180868055555557,0,product_quality,positive,,
81,e18f63b8f429f2e923faeddfe034a972,eec4699eb4ec4511a25aead6ed4e6c9b,2,12.97011574074074,0,product_quality,negative,,
82,c848b17cf82a66ee3a23661a94ad6852,97406fbd0681b611192617f872175edb,5,5.822094907407408,1,product_quality,positive,product_quality,positive
83,a960a525fe1f8bc382be6ae86e2c286e,801486e590af3202e69113a4542ef133,5,8.083171296296296,0,product_quality,positive,,
84,303d1805e472717da19793051a53ed91,e51d5fd82a186a64728b4de03b0fd8f8,1,17.159756944444446,0,product_quality,negative,,
85,61444af46eba67a5d657ea209e893476,3ff25314bbe9dc1ec7c983499bdff8f2,5,26.98122685185185,0,other,positive,,
86,c141e288b3722caeb717911e52fee32f,9105e733a6a8fcccf4fced822e1a67ae,5,5.008356481481481,0,product_quality,positive,,
